student_id,gender,branch,tenth_percentage,twelfth_percentage,cgpa,backlogs,internship_done,placed,salary_lpa,specialisation,higher_education
STU1305,Male,AIML,84.1,75.9,7.65,0,1,Yes,16.7,Deep Learning Engineer,No
STU1306,Female,IT,79.9,84.7,7.0,0,0,Yes,12.25,Product Management,No
STU1307,Male,AIDS,79.3,67.0,6.48,0,0,Yes,15.26,Business Intelligence Analyst,No
STU1308,Male,EEE,62.8,68.4,8.48,0,1,Yes,11.81,Product Management,No
STU1309,Male,IT,93.7,73.3,7.74,0,0,No,,NA,Yes
STU1310,Male,Civil,96.8,59.5,6.9,2,1,No,,NA,Yes
STU1311,Male,Data Science,82.4,69.0,5.42,1,0,Yes,13.37,Data Analyst,No
STU1312,Male,AIDS,85.1,76.4,6.48,1,1,Yes,14.3,Data Analyst,Yes
STU1313,Male,ECE,65.2,82.7,6.89,0,0,Yes,9.81,Mobile App Development,Yes
STU1314,Male,AIML,77.0,92.5,7.99,0,0,Yes,15.44,NLP Engineer,No
STU1315,Male,AIML,62.7,67.1,6.44,1,0,Yes,16.01,AI Research Engineer,Yes
STU1316,Female,AIDS,80.4,71.6,7.36,0,1,Yes,17.76,Software Development,Yes
STU1317,Male,AIDS,65.5,88.4,7.72,0,1,Yes,17.43,NLP Engineer,No
STU1318,Female,Data Science,89.2,77.4,7.33,1,1,Yes,13.79,Deep Learning Engineer,Yes
STU1319,Female,AIML,83.7,78.5,7.81,0,0,Yes,18.06,Computer Vision Engineer,No
STU1320,Male,CSE,91.3,76.0,7.98,0,0,Yes,12.4,Cloud & DevOps,Yes
STU1321,Male,AIML,77.1,88.4,8.04,0,0,Yes,19.06,Deep Learning Engineer,Yes
STU1322,Female,IT,96.0,73.6,6.79,0,1,Yes,14.7,Data Scientist,No
STU1323,Female,AIDS,79.3,67.2,6.11,0,1,Yes,13.63,Data Engineering,No
STU1324,Male,Civil,71.5,69.5,8.16,0,0,Yes,10.42,Product Management,No
STU1325,Male,CSE,73.5,50.0,5.7,0,0,No,,NA,No
STU1326,Male,IT,85.6,81.9,5.97,0,0,No,,NA,No
STU1327,Female,EEE,68.3,73.5,7.78,0,0,Yes,9.78,Cybersecurity,No
STU1328,Female,Civil,66.4,89.0,7.4,1,0,No,,NA,Yes
STU1329,Female,ECE,75.8,74.3,8.19,0,1,Yes,10.82,NLP Engineer,Yes
STU1330,Female,ECE,57.6,71.5,7.59,0,1,Yes,12.14,Data Engineering,No
STU1331,Male,IT,68.0,71.2,6.79,1,1,Yes,13.66,Data Scientist,No
STU1332,Male,ECE,84.4,68.3,9.02,0,0,Yes,11.34,Embedded Systems,Yes
STU1333,Male,AIML,92.0,83.2,7.92,0,0,Yes,18.84,Deep Learning Engineer,No
STU1334,Male,IT,71.5,81.0,7.45,1,0,Yes,12.33,MLOps Engineer,Yes
STU1335,Male,Data Science,87.0,80.4,7.75,0,1,Yes,15.62,Data Analyst,No
STU1336,Male,ECE,72.6,87.2,8.34,0,1,Yes,14.88,Deep Learning Engineer,No
STU1337,Male,AIML,98.8,67.1,7.58,0,0,Yes,14.03,Deep Learning Engineer,No
STU1338,Male,EEE,80.0,67.5,8.96,0,0,Yes,9.6,UI/UX Design,No
STU1339,Male,AIDS,74.8,78.2,6.96,0,0,Yes,14.45,Full Stack Development,No
STU1340,Male,AIDS,72.3,73.8,7.87,0,0,Yes,17.86,Marketing & HR,Yes
STU1341,Male,Data Science,95.3,78.4,9.33,0,1,Yes,18.33,Marketing & HR,Yes
STU1342,Female,Data Science,79.2,80.1,7.43,0,1,Yes,15.62,AI Research Engineer,No
STU1343,Male,Data Science,75.4,57.3,6.48,0,1,Yes,16.08,NLP Engineer,No
STU1344,Male,EEE,84.5,69.2,7.76,0,1,Yes,12.86,QA Automation,Yes
STU1345,Male,AIML,65.7,59.4,8.82,0,1,Yes,18.39,Deep Learning Engineer,No
STU1346,Female,AIDS,88.5,90.8,7.6,0,1,Yes,18.72,Machine Learning Engineer,No
STU1347,Female,Civil,88.8,73.6,6.99,2,1,No,,NA,Yes
STU1348,Male,Data Science,86.8,80.5,7.24,0,0,Yes,12.53,Marketing & HR,No
STU1349,Male,Biotech,92.8,87.8,5.98,1,0,Yes,4.0,Business Intelligence Analyst,No
STU1350,Female,Data Science,82.0,78.9,6.84,0,1,Yes,15.44,Business Intelligence Analyst,No
STU1351,Male,Biotech,72.5,67.3,7.63,0,0,Yes,6.36,Marketing & HR,Yes
STU1352,Female,IT,89.7,79.4,7.38,0,0,Yes,10.51,Software Development,No
STU1353,Male,ECE,85.7,50.0,7.07,0,0,Yes,7.33,Mobile App Development,Yes
STU1354,Male,Data Science,60.6,70.4,8.43,0,1,Yes,20.0,NLP Engineer,No
STU1355,Male,Data Science,65.1,85.6,6.39,0,0,Yes,14.44,Data Scientist,No
STU1356,Male,CSE,81.5,73.5,6.98,0,1,Yes,12.65,Deep Learning Engineer,Yes
STU1357,Female,EEE,78.8,61.2,7.83,0,0,Yes,11.01,Cloud & DevOps,No
STU1358,Male,AIDS,73.1,58.4,8.3,0,0,Yes,16.53,Marketing & HR,No
STU1359,Male,Data Science,93.0,82.5,7.01,0,1,Yes,17.69,Software Development,No
STU1360,Male,Civil,74.5,70.8,7.09,0,1,No,,NA,Yes
STU1361,Male,AIML,81.8,78.3,9.27,0,0,Yes,16.45,AI Research Engineer,No
STU1362,Female,AIML,80.4,71.4,8.33,0,0,Yes,17.3,QA Automation,No
STU1363,Male,Data Science,77.3,73.6,7.22,0,0,Yes,13.86,Deep Learning Engineer,Yes
STU1364,Male,Biotech,78.5,81.3,8.05,0,0,Yes,8.86,Marketing & HR,No
STU1365,Male,AIDS,78.8,54.0,7.33,1,0,Yes,15.14,Data Scientist,No
STU1366,Male,AIML,81.5,84.0,8.22,0,0,Yes,15.93,MLOps Engineer,No
STU1367,Male,AIDS,98.9,72.6,5.0,2,0,Yes,14.0,Software Development,No
STU1368,Male,ECE,67.6,80.1,8.4,0,0,Yes,13.65,Data Analyst,No
STU1369,Male,AIML,71.8,93.1,6.45,1,0,Yes,16.67,Machine Learning Engineer,No
STU1370,Male,EEE,80.2,82.7,7.23,0,0,No,,NA,No
STU1371,Male,Mechanical,79.5,77.6,7.85,0,1,Yes,7.58,Data Engineering,Yes
STU1372,Male,Data Science,77.4,76.0,9.56,0,1,Yes,18.77,Computer Vision Engineer,Yes
STU1373,Male,Biotech,89.1,85.9,8.35,0,1,No,,NA,No
STU1374,Male,IT,66.6,90.3,7.97,0,0,No,,NA,No
STU1375,Female,IT,81.0,66.5,6.37,0,0,Yes,9.87,NLP Engineer,No
STU1376,Male,AIDS,81.3,77.2,7.34,0,1,Yes,15.42,MLOps Engineer,No
STU1377,Male,AIDS,94.1,78.5,7.78,0,0,Yes,17.84,Deep Learning Engineer,No
STU1378,Female,CSE,87.6,85.9,7.18,0,1,Yes,14.02,Computer Vision Engineer,Yes
STU1379,Female,AIML,84.0,81.0,6.3,0,0,Yes,13.79,Data Analyst,No
STU1380,Male,Data Science,91.8,72.5,7.13,0,0,No,,NA,No
STU1381,Male,CSE,76.3,74.2,7.51,0,0,Yes,15.28,Data Analyst,No
STU1382,Male,IT,63.6,89.9,6.41,0,1,No,,NA,Yes
STU1383,Male,CSE,68.1,52.5,6.64,0,0,Yes,12.91,Cloud & DevOps,Yes
STU1384,Female,AIML,64.8,90.4,6.82,0,1,Yes,13.9,Data Scientist,Yes
STU1385,Female,IT,71.1,96.5,8.31,0,1,Yes,11.65,Data Analyst,No
STU1386,Female,IT,74.8,50.0,8.28,0,0,Yes,11.0,Mobile App Development,Yes
STU1387,Male,Mechanical,64.1,57.5,9.46,0,0,Yes,12.04,Business Analyst,No
STU1388,Female,IT,100.0,87.8,8.32,0,1,Yes,14.4,Data Engineering,Yes
STU1389,Female,IT,83.9,82.5,7.91,0,0,Yes,12.32,Deep Learning Engineer,No
STU1390,Male,ECE,80.8,75.0,8.08,0,1,Yes,11.22,Embedded Systems,Yes
STU1391,Female,CSE,70.5,71.2,7.34,2,1,Yes,15.13,Cybersecurity,No
STU1392,Female,Mechanical,77.0,64.1,5.88,2,0,No,,NA,Yes
STU1393,Male,AIML,79.8,87.9,6.41,0,0,Yes,12.88,NLP Engineer,No
STU1394,Female,Mechanical,62.3,64.1,8.23,0,0,No,,NA,No
STU1395,Male,AIML,68.2,71.8,8.25,0,1,Yes,18.01,Deep Learning Engineer,No
STU1396,Male,CSE,68.3,75.1,7.9,0,0,Yes,12.18,Product Management,No
STU1397,Male,AIDS,72.0,77.2,6.2,2,1,No,,NA,Yes
STU1398,Male,CSE,82.4,73.8,5.97,2,1,Yes,11.14,Software Development,Yes
STU1399,Male,AIDS,80.2,87.6,7.9,0,0,Yes,17.42,Data Engineering,No
